complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,The description mentions keywords that map it to Pothole.,
PM-202402,Pothole,Urgent,"The description contains severity keywords: child, school.",
PM-202406,Flooding,Standard,The description mentions keywords that map it to Flooding.,
PM-202408,Drain Blockage,Standard,The description mentions keywords that map it to Drain Blockage.,
PM-202410,Streetlight,Standard,The description mentions keywords that map it to Streetlight.,
PM-202411,Streetlight,Urgent,The description contains severity keywords: hazard.,
PM-202413,Waste,Standard,The description mentions keywords that map it to Waste.,
PM-202418,Noise,Standard,The description mentions keywords that map it to Noise.,
PM-202419,Road Damage,Standard,The description mentions keywords that map it to Road Damage.,
PM-202420,Other,Urgent,The description contains severity keywords: injury.,NEEDS_REVIEW
PM-202427,Flooding,Standard,The description mentions keywords that map it to Flooding.,
PM-202428,Waste,Standard,The description mentions keywords that map it to Waste.,
PM-202430,Other,Standard,The description text is ambiguous or unclassifiable.,NEEDS_REVIEW
PM-202433,Waste,Standard,The description mentions keywords that map it to Waste.,
PM-202446,Road Damage,Urgent,The description contains severity keywords: fell.,
