ward,category,period,actual_spend,growth_type,growth_pct,formula
Ward 1 – Kasba,Roads & Pothole Repair,2024-01,13.3,MoM,n/a,(current - previous) / previous * 100 [No prev month]
Ward 1 – Kasba,Roads & Pothole Repair,2024-02,12.2,MoM,-8.3%,(12.2 - 13.3) / 13.3 * 100
Ward 1 – Kasba,Roads & Pothole Repair,2024-03,12.3,MoM,+0.8%,(12.3 - 12.2) / 12.2 * 100
Ward 1 – Kasba,Roads & Pothole Repair,2024-04,13.4,MoM,+8.9%,(13.4 - 12.3) / 12.3 * 100
Ward 1 – Kasba,Roads & Pothole Repair,2024-05,14.1,MoM,+5.2%,(14.1 - 13.4) / 13.4 * 100
Ward 1 – Kasba,Roads & Pothole Repair,2024-06,14.8,MoM,+5.0%,(14.8 - 14.1) / 14.1 * 100
Ward 1 – Kasba,Roads & Pothole Repair,2024-07,19.7,MoM,+33.1%,(19.7 - 14.8) / 14.8 * 100
Ward 1 – Kasba,Roads & Pothole Repair,2024-08,20.2,MoM,+2.5%,(20.2 - 19.7) / 19.7 * 100
Ward 1 – Kasba,Roads & Pothole Repair,2024-09,20.1,MoM,-0.5%,(20.1 - 20.2) / 20.2 * 100
Ward 1 – Kasba,Roads & Pothole Repair,2024-10,13.1,MoM,-34.8%,(13.1 - 20.1) / 20.1 * 100
Ward 1 – Kasba,Roads & Pothole Repair,2024-11,14.2,MoM,+8.4%,(14.2 - 13.1) / 13.1 * 100
Ward 1 – Kasba,Roads & Pothole Repair,2024-12,12.7,MoM,-10.6%,(12.7 - 14.2) / 14.2 * 100
